“úŒo•½‹Ï,,,,,,,
Date,Time,Open,High,Low,Close,Volume,OI
2017-07-26,00:00:00, 20098.14, 20116.00, 20016.58, 20050.16, 0.00, 0.00
2017-07-25,00:00:00, 19979.56, 20036.31, 19941.61, 19955.20, 0.00, 0.00
2017-07-24,00:00:00, 19973.67, 20002.54, 19901.88, 19975.67, 0.00, 0.00
2017-07-21,00:00:00, 20089.86, 20135.33, 20081.91, 20099.75, 0.00, 0.00
2017-07-20,00:00:00, 20046.90, 20157.11, 20032.23, 20144.59, 0.00, 0.00
2017-07-19,00:00:00, 19970.78, 20032.46, 19947.26, 20020.86, 0.00, 0.00
2017-07-18,00:00:00, 20074.41, 20081.29, 19943.14, 19999.91, 0.00, 0.00
2017-07-14,00:00:00, 20157.92, 20163.67, 20101.71, 20118.86, 0.00, 0.00
2017-07-13,00:00:00, 20177.28, 20183.80, 20062.27, 20099.81, 0.00, 0.00
2017-07-12,00:00:00, 20137.22, 20153.04, 20061.16, 20098.38, 0.00, 0.00
2017-07-11,00:00:00, 20073.86, 20200.88, 20070.67, 20195.48, 0.00, 0.00
2017-07-10,00:00:00, 20070.44, 20127.76, 20023.03, 20080.98, 0.00, 0.00
2017-07-07,00:00:00, 19856.65, 19979.93, 19856.65, 19929.09, 0.00, 0.00
2017-07-06,00:00:00, 20061.68, 20078.88, 19947.63, 19994.06, 0.00, 0.00
2017-07-05,00:00:00, 20015.07, 20087.01, 19888.90, 20081.63, 0.00, 0.00
2017-07-04,00:00:00, 20192.27, 20197.16, 19971.53, 20032.35, 0.00, 0.00
2017-07-03,00:00:00, 20056.32, 20096.14, 20030.61, 20055.80, 0.00, 0.00
2017-06-30,00:00:00, 20025.63, 20044.01, 19946.51, 20033.43, 0.00, 0.00
2017-06-29,00:00:00, 20260.87, 20266.59, 20197.38, 20220.30, 0.00, 0.00
2017-06-28,00:00:00, 20149.20, 20224.30, 20110.49, 20130.41, 0.00, 0.00
2017-06-27,00:00:00, 20229.12, 20250.10, 20185.19, 20225.09, 0.00, 0.00
2017-06-26,00:00:00, 20132.81, 20196.38, 20119.04, 20153.35, 0.00, 0.00
2017-06-23,00:00:00, 20152.58, 20152.58, 20089.54, 20132.67, 0.00, 0.00
2017-06-22,00:00:00, 20154.38, 20191.42, 20107.89, 20110.51, 0.00, 0.00
2017-06-21,00:00:00, 20192.16, 20215.11, 20117.79, 20138.79, 0.00, 0.00
2017-06-20,00:00:00, 20234.12, 20318.11, 20227.29, 20230.41, 0.00, 0.00
2017-06-19,00:00:00, 19974.30, 20087.71, 19949.88, 20067.75, 0.00, 0.00
2017-06-16,00:00:00, 19931.15, 20015.16, 19884.80, 19943.26, 0.00, 0.00
2017-06-15,00:00:00, 19815.54, 19963.36, 19755.34, 19831.82, 0.00, 0.00
2017-06-14,00:00:00, 19974.56, 20009.93, 19879.60, 19883.52, 0.00, 0.00
2017-06-13,00:00:00, 19859.81, 19929.03, 19850.86, 19898.75, 0.00, 0.00
2017-06-12,00:00:00, 19920.77, 19949.07, 19837.64, 19908.58, 0.00, 0.00
2017-06-09,00:00:00, 19953.06, 20096.01, 19927.07, 20013.26, 0.00, 0.00
2017-06-08,00:00:00, 20048.28, 20061.22, 19896.35, 19909.26, 0.00, 0.00
2017-06-07,00:00:00, 19951.68, 20023.24, 19908.07, 19984.62, 0.00, 0.00
2017-06-06,00:00:00, 20122.26, 20152.95, 19948.02, 19979.90, 0.00, 0.00
2017-06-05,00:00:00, 20135.42, 20224.54, 20104.13, 20170.82, 0.00, 0.00
2017-06-02,00:00:00, 19970.23, 20239.81, 19967.00, 20177.28, 0.00, 0.00
2017-06-01,00:00:00, 19692.16, 19887.66, 19686.32, 19860.03, 0.00, 0.00
2017-05-31,00:00:00, 19630.33, 19673.51, 19589.25, 19650.57, 0.00, 0.00
2017-05-30,00:00:00, 19681.11, 19691.44, 19570.13, 19677.85, 0.00, 0.00
2017-05-29,00:00:00, 19697.18, 19736.62, 19627.19, 19682.57, 0.00, 0.00
2017-05-26,00:00:00, 19798.49, 19801.59, 19686.49, 19686.84, 0.00, 0.00
2017-05-25,00:00:00, 19737.21, 19850.93, 19720.12, 19813.13, 0.00, 0.00
2017-05-24,00:00:00, 19777.56, 19782.81, 19690.10, 19742.98, 0.00, 0.00
2017-05-23,00:00:00, 19647.74, 19693.02, 19585.54, 19613.28, 0.00, 0.00
2017-05-22,00:00:00, 19670.48, 19722.93, 19618.73, 19678.28, 0.00, 0.00
2017-05-19,00:00:00, 19591.41, 19628.64, 19497.29, 19590.76, 0.00, 0.00
2017-05-18,00:00:00, 19556.99, 19601.53, 19449.73, 19553.86, 0.00, 0.00
2017-05-17,00:00:00, 19806.78, 19842.78, 19764.63, 19814.88, 0.00, 0.00
2017-05-16,00:00:00, 19953.06, 19998.49, 19862.41, 19919.82, 0.00, 0.00
2017-05-15,00:00:00, 19753.46, 19869.85, 19740.63, 19869.85, 0.00, 0.00
2017-05-12,00:00:00, 19941.64, 19941.64, 19809.91, 19883.90, 0.00, 0.00
2017-05-11,00:00:00, 19943.95, 19989.94, 19906.35, 19961.55, 0.00, 0.00
2017-05-10,00:00:00, 19890.56, 19938.53, 19866.30, 19900.09, 0.00, 0.00
2017-05-09,00:00:00, 19915.64, 19917.45, 19838.71, 19843.00, 0.00, 0.00
2017-05-08,00:00:00, 19709.01, 19929.48, 19705.13, 19895.70, 0.00, 0.00
2017-05-02,00:00:00, 19335.72, 19464.30, 19335.02, 19445.70, 0.00, 0.00
2017-05-01,00:00:00, 19154.03, 19311.21, 19144.62, 19310.52, 0.00, 0.00
2017-04-28,00:00:00, 19240.65, 19264.57, 19164.68, 19196.74, 0.00, 0.00
2017-04-27,00:00:00, 19205.59, 19281.70, 19199.59, 19251.87, 0.00, 0.00
2017-04-26,00:00:00, 19184.92, 19289.43, 19170.86, 19289.43, 0.00, 0.00
2017-04-25,00:00:00, 18872.56, 19109.76, 18867.19, 19079.33, 0.00, 0.00
2017-04-24,00:00:00, 18890.38, 18910.33, 18840.13, 18875.88, 0.00, 0.00
2017-04-21,00:00:00, 18591.82, 18648.28, 18542.42, 18620.75, 0.00, 0.00
2017-04-20,00:00:00, 18446.39, 18523.40, 18420.82, 18430.49, 0.00, 0.00
2017-04-19,00:00:00, 18327.33, 18467.73, 18327.33, 18432.20, 0.00, 0.00
2017-04-18,00:00:00, 18497.38, 18547.46, 18362.73, 18418.59, 0.00, 0.00
2017-04-17,00:00:00, 18239.84, 18361.44, 18224.68, 18355.26, 0.00, 0.00
2017-04-14,00:00:00, 18531.91, 18531.91, 18285.73, 18335.63, 0.00, 0.00
2017-04-13,00:00:00, 18391.72, 18455.25, 18304.72, 18426.84, 0.00, 0.00
2017-04-12,00:00:00, 18592.10, 18602.50, 18460.59, 18552.61, 0.00, 0.00
2017-04-11,00:00:00, 18717.55, 18767.70, 18661.86, 18747.87, 0.00, 0.00
2017-04-10,00:00:00, 18800.22, 18850.80, 18762.70, 18797.88, 0.00, 0.00
2017-04-07,00:00:00, 18714.98, 18785.73, 18517.43, 18664.63, 0.00, 0.00
2017-04-06,00:00:00, 18754.37, 18797.44, 18532.65, 18597.06, 0.00, 0.00
2017-04-05,00:00:00, 18900.70, 18941.94, 18773.94, 18861.27, 0.00, 0.00
2017-04-04,00:00:00, 18933.82, 18947.33, 18703.63, 18810.25, 0.00, 0.00
2017-04-03,00:00:00, 18988.00, 19068.62, 18920.52, 18983.23, 0.00, 0.00
2017-03-31,00:00:00, 19170.42, 19210.92, 18909.26, 18909.26, 0.00, 0.00
2017-03-30,00:00:00, 19150.82, 19218.08, 19043.48, 19063.22, 0.00, 0.00
2017-03-29,00:00:00, 19216.78, 19251.30, 19164.61, 19217.48, 0.00, 0.00
2017-03-28,00:00:00, 19159.07, 19203.64, 19113.44, 19202.87, 0.00, 0.00
2017-03-27,00:00:00, 19071.19, 19086.89, 18932.09, 18985.59, 0.00, 0.00
2017-03-24,00:00:00, 19066.35, 19296.05, 19060.64, 19262.53, 0.00, 0.00
2017-03-23,00:00:00, 19048.84, 19105.11, 18973.75, 19085.31, 0.00, 0.00
2017-03-22,00:00:00, 19146.62, 19183.27, 19026.53, 19041.38, 0.00, 0.00
2017-03-21,00:00:00, 19416.55, 19485.14, 19337.22, 19455.88, 0.00, 0.00
2017-03-17,00:00:00, 19510.89, 19547.51, 19487.92, 19521.59, 0.00, 0.00
2017-03-16,00:00:00, 19458.70, 19618.99, 19454.17, 19590.14, 0.00, 0.00
2017-03-15,00:00:00, 19528.75, 19581.53, 19503.74, 19577.38, 0.00, 0.00
2017-03-14,00:00:00, 19634.29, 19637.55, 19599.62, 19609.50, 0.00, 0.00
2017-03-13,00:00:00, 19545.74, 19656.48, 19531.51, 19633.75, 0.00, 0.00
2017-03-10,00:00:00, 19444.71, 19623.72, 19427.81, 19604.61, 0.00, 0.00
2017-03-09,00:00:00, 19343.06, 19350.20, 19262.98, 19318.58, 0.00, 0.00
2017-03-08,00:00:00, 19308.53, 19326.40, 19198.78, 19254.03, 0.00, 0.00
2017-03-07,00:00:00, 19337.19, 19375.09, 19317.10, 19344.15, 0.00, 0.00
2017-03-06,00:00:00, 19409.18, 19411.54, 19340.32, 19379.14, 0.00, 0.00
2017-03-03,00:00:00, 19551.34, 19587.79, 19392.75, 19469.17, 0.00, 0.00
2017-03-02,00:00:00, 19624.82, 19668.01, 19564.80, 19564.80, 0.00, 0.00
2017-03-01,00:00:00, 19226.94, 19414.55, 19164.62, 19393.54, 0.00, 0.00
2017-02-28,00:00:00, 19194.68, 19267.99, 19118.99, 19118.99, 0.00, 0.00
2017-02-27,00:00:00, 19130.51, 19178.99, 18995.55, 19107.47, 0.00, 0.00
2017-02-24,00:00:00, 19232.11, 19381.10, 19219.58, 19283.54, 0.00, 0.00
2017-02-23,00:00:00, 19379.92, 19379.92, 19262.63, 19371.46, 0.00, 0.00
2017-02-22,00:00:00, 19419.22, 19419.22, 19329.28, 19379.87, 0.00, 0.00
2017-02-21,00:00:00, 19267.87, 19395.35, 19261.98, 19381.44, 0.00, 0.00
2017-02-20,00:00:00, 19161.33, 19274.75, 19115.11, 19251.08, 0.00, 0.00
2017-02-17,00:00:00, 19228.74, 19275.39, 19173.53, 19234.62, 0.00, 0.00
2017-02-16,00:00:00, 19431.61, 19431.61, 19260.24, 19347.53, 0.00, 0.00
2017-02-15,00:00:00, 19438.81, 19495.62, 19420.00, 19437.98, 0.00, 0.00
2017-02-14,00:00:00, 19478.86, 19501.01, 19232.85, 19238.98, 0.00, 0.00
2017-02-13,00:00:00, 19513.78, 19519.44, 19418.18, 19459.15, 0.00, 0.00
2017-02-10,00:00:00, 19216.74, 19395.99, 19193.57, 19378.93, 0.00, 0.00
2017-02-09,00:00:00, 18942.04, 18991.23, 18874.91, 18907.67, 0.00, 0.00
2017-02-08,00:00:00, 18951.16, 19009.24, 18875.57, 19007.60, 0.00, 0.00
2017-02-07,00:00:00, 18844.12, 18970.58, 18805.32, 18910.78, 0.00, 0.00
2017-02-06,00:00:00, 19069.72, 19075.57, 18899.40, 18976.71, 0.00, 0.00
2017-02-03,00:00:00, 18996.74, 19061.26, 18830.89, 18918.20, 0.00, 0.00
2017-02-02,00:00:00, 19152.79, 19170.63, 18866.80, 18914.58, 0.00, 0.00
2017-02-01,00:00:00, 18926.97, 19155.79, 18916.18, 19148.08, 0.00, 0.00
2017-01-31,00:00:00, 19145.35, 19199.75, 19041.34, 19041.34, 0.00, 0.00
2017-01-30,00:00:00, 19371.28, 19390.97, 19295.80, 19368.85, 0.00, 0.00
2017-01-27,00:00:00, 19453.51, 19486.68, 19404.13, 19467.40, 0.00, 0.00
2017-01-26,00:00:00, 19260.67, 19405.23, 19232.46, 19402.39, 0.00, 0.00
2017-01-25,00:00:00, 19091.23, 19133.18, 18987.45, 19057.50, 0.00, 0.00
2017-01-24,00:00:00, 18817.42, 18915.70, 18783.16, 18787.99, 0.00, 0.00
2017-01-23,00:00:00, 18938.45, 19024.21, 18879.68, 18891.03, 0.00, 0.00
2017-01-20,00:00:00, 19059.15, 19176.86, 19040.20, 19137.91, 0.00, 0.00
2017-01-19,00:00:00, 19082.83, 19122.39, 18982.13, 19072.25, 0.00, 0.00
2017-01-18,00:00:00, 18753.96, 18941.24, 18650.33, 18894.37, 0.00, 0.00
2017-01-17,00:00:00, 19038.45, 19043.91, 18812.86, 18813.53, 0.00, 0.00
2017-01-16,00:00:00, 19219.13, 19255.41, 19061.27, 19095.24, 0.00, 0.00
2017-01-13,00:00:00, 19174.97, 19299.36, 19156.93, 19287.28, 0.00, 0.00
2017-01-12,00:00:00, 19300.19, 19300.19, 19069.02, 19134.70, 0.00, 0.00
2017-01-11,00:00:00, 19358.64, 19402.17, 19325.46, 19364.67, 0.00, 0.00
2017-01-10,00:00:00, 19414.83, 19484.90, 19255.35, 19301.44, 0.00, 0.00
2017-01-06,00:00:00, 19393.55, 19472.37, 19354.44, 19454.33, 0.00, 0.00
2017-01-05,00:00:00, 19602.10, 19615.40, 19473.28, 19520.69, 0.00, 0.00
2017-01-04,00:00:00, 19298.68, 19594.16, 19277.93, 19594.16, 0.00, 0.00
2016-12-30,00:00:00, 18997.68, 19176.81, 18991.59, 19114.37, 0.00, 0.00
2016-12-29,00:00:00, 19301.04, 19301.04, 19092.22, 19145.14, 0.00, 0.00
2016-12-28,00:00:00, 19392.11, 19442.13, 19364.73, 19401.72, 0.00, 0.00
2016-12-27,00:00:00, 19353.43, 19478.58, 19352.06, 19403.06, 0.00, 0.00
2016-12-26,00:00:00, 19394.41, 19432.48, 19385.94, 19396.64, 0.00, 0.00
2016-12-22,00:00:00, 19396.85, 19427.67, 19327.51, 19427.67, 0.00, 0.00
2016-12-21,00:00:00, 19547.28, 19592.90, 19375.19, 19444.49, 0.00, 0.00
2016-12-20,00:00:00, 19367.84, 19511.20, 19356.81, 19494.53, 0.00, 0.00
2016-12-19,00:00:00, 19345.84, 19399.26, 19307.14, 19391.60, 0.00, 0.00
2016-12-16,00:00:00, 19438.39, 19439.97, 19360.36, 19401.15, 0.00, 0.00
2016-12-15,00:00:00, 19327.70, 19436.90, 19192.60, 19273.79, 0.00, 0.00
2016-12-14,00:00:00, 19270.01, 19284.28, 19184.75, 19253.61, 0.00, 0.00
2016-12-13,00:00:00, 19120.76, 19253.51, 19060.72, 19250.52, 0.00, 0.00
2016-12-12,00:00:00, 19183.82, 19280.93, 19054.00, 19155.03, 0.00, 0.00
2016-12-09,00:00:00, 18839.98, 19042.48, 18821.41, 18996.37, 0.00, 0.00
2016-12-08,00:00:00, 18674.19, 18765.47, 18614.01, 18765.47, 0.00, 0.00
2016-12-07,00:00:00, 18434.54, 18502.47, 18410.88, 18496.69, 0.00, 0.00
2016-12-06,00:00:00, 18457.20, 18484.80, 18318.99, 18360.54, 0.00, 0.00
2016-12-05,00:00:00, 18349.92, 18365.74, 18227.39, 18274.99, 0.00, 0.00
2016-12-02,00:00:00, 18435.55, 18469.68, 18315.38, 18426.08, 0.00, 0.00
2016-12-01,00:00:00, 18535.24, 18746.28, 18469.27, 18513.12, 0.00, 0.00
2016-11-30,00:00:00, 18356.03, 18370.31, 18280.66, 18308.48, 0.00, 0.00
2016-11-29,00:00:00, 18263.63, 18327.51, 18258.82, 18307.04, 0.00, 0.00
2016-11-28,00:00:00, 18302.58, 18374.93, 18222.82, 18356.89, 0.00, 0.00
2016-11-25,00:00:00, 18387.59, 18482.94, 18288.50, 18381.22, 0.00, 0.00
2016-11-24,00:00:00, 18329.78, 18382.72, 18310.31, 18333.41, 0.00, 0.00
2016-11-22,00:00:00, 18091.05, 18175.63, 18050.55, 18162.94, 0.00, 0.00
2016-11-21,00:00:00, 18038.09, 18129.03, 18007.79, 18106.02, 0.00, 0.00
2016-11-18,00:00:00, 18024.21, 18043.72, 17967.41, 17967.41, 0.00, 0.00
2016-11-17,00:00:00, 17766.61, 17884.06, 17764.08, 17862.63, 0.00, 0.00
2016-11-16,00:00:00, 17832.51, 17886.44, 17807.47, 17862.21, 0.00, 0.00
2016-11-15,00:00:00, 17690.22, 17727.58, 17605.77, 17668.15, 0.00, 0.00
2016-11-14,00:00:00, 17467.49, 17697.33, 17455.78, 17672.62, 0.00, 0.00
2016-11-11,00:00:00, 17526.61, 17621.73, 17333.49, 17374.79, 0.00, 0.00
2016-11-10,00:00:00, 16562.86, 17393.82, 16560.66, 17344.42, 0.00, 0.00
2016-11-09,00:00:00, 17281.95, 17427.71, 16111.81, 16251.54, 0.00, 0.00
2016-11-08,00:00:00, 17242.70, 17247.04, 17130.83, 17171.38, 0.00, 0.00
2016-11-07,00:00:00, 17126.03, 17186.89, 17056.84, 17177.21, 0.00, 0.00
2016-11-04,00:00:00, 16964.50, 16996.09, 16801.98, 16905.36, 0.00, 0.00
2016-11-02,00:00:00, 17238.00, 17283.60, 17080.59, 17134.68, 0.00, 0.00
2016-11-01,00:00:00, 17380.54, 17473.12, 17339.64, 17442.40, 0.00, 0.00
2016-10-31,00:00:00, 17360.89, 17433.13, 17327.62, 17425.02, 0.00, 0.00
2016-10-28,00:00:00, 17448.25, 17461.03, 17406.72, 17446.41, 0.00, 0.00
2016-10-27,00:00:00, 17346.39, 17414.21, 17278.12, 17336.42, 0.00, 0.00
2016-10-26,00:00:00, 17329.03, 17391.84, 17295.46, 17391.84, 0.00, 0.00
2016-10-25,00:00:00, 17298.63, 17381.80, 17298.63, 17365.25, 0.00, 0.00
2016-10-24,00:00:00, 17216.56, 17244.74, 17162.21, 17234.42, 0.00, 0.00
2016-10-21,00:00:00, 17283.75, 17288.89, 17151.98, 17184.59, 0.00, 0.00
2016-10-20,00:00:00, 16999.36, 17235.50, 16992.14, 17235.50, 0.00, 0.00
2016-10-19,00:00:00, 16952.91, 17016.66, 16938.46, 16998.91, 0.00, 0.00
2016-10-18,00:00:00, 16862.31, 16966.90, 16844.17, 16963.61, 0.00, 0.00
2016-10-17,00:00:00, 16871.84, 16954.44, 16821.49, 16900.12, 0.00, 0.00
2016-10-14,00:00:00, 16751.04, 16866.56, 16727.78, 16856.37, 0.00, 0.00
2016-10-13,00:00:00, 16923.82, 16974.25, 16739.73, 16774.24, 0.00, 0.00
2016-10-12,00:00:00, 16850.73, 16951.54, 16839.41, 16840.00, 0.00, 0.00
2016-10-11,00:00:00, 16936.31, 17074.46, 16931.12, 17024.76, 0.00, 0.00
2016-10-07,00:00:00, 16883.12, 16895.13, 16820.21, 16860.09, 0.00, 0.00
2016-10-06,00:00:00, 16913.60, 16971.28, 16888.77, 16899.10, 0.00, 0.00
2016-10-05,00:00:00, 16787.89, 16844.35, 16728.19, 16819.24, 0.00, 0.00
2016-10-04,00:00:00, 16661.51, 16747.20, 16637.82, 16735.65, 0.00, 0.00
2016-10-03,00:00:00, 16566.03, 16652.16, 16554.83, 16598.67, 0.00, 0.00
2016-09-30,00:00:00, 16474.45, 16497.55, 16407.78, 16449.84, 0.00, 0.00
2016-09-29,00:00:00, 16606.30, 16756.43, 16584.14, 16693.71, 0.00, 0.00
2016-09-28,00:00:00, 16504.99, 16515.84, 16385.03, 16465.40, 0.00, 0.00
2016-09-27,00:00:00, 16390.91, 16683.93, 16285.41, 16683.93, 0.00, 0.00
2016-09-26,00:00:00, 16707.45, 16707.45, 16514.93, 16544.56, 0.00, 0.00
2016-09-23,00:00:00, 16759.84, 16808.59, 16725.53, 16754.02, 0.00, 0.00
2016-09-21,00:00:00, 16471.85, 16823.63, 16399.65, 16807.62, 0.00, 0.00
2016-09-20,00:00:00, 16403.22, 16591.70, 16403.22, 16492.15, 0.00, 0.00
2016-09-16,00:00:00, 16458.74, 16532.84, 16415.86, 16519.29, 0.00, 0.00
2016-09-15,00:00:00, 16512.42, 16528.02, 16359.78, 16405.01, 0.00, 0.00
2016-09-14,00:00:00, 16632.06, 16706.61, 16585.80, 16614.24, 0.00, 0.00
2016-09-13,00:00:00, 16764.65, 16787.06, 16658.40, 16729.04, 0.00, 0.00
2016-09-12,00:00:00, 16748.36, 16802.00, 16601.54, 16672.92, 0.00, 0.00
2016-09-09,00:00:00, 16994.37, 17029.78, 16902.09, 16965.76, 0.00, 0.00
2016-09-08,00:00:00, 16984.00, 17001.84, 16836.65, 16958.77, 0.00, 0.00
2016-09-07,00:00:00, 16937.38, 17024.26, 16903.20, 17012.44, 0.00, 0.00
2016-09-06,00:00:00, 17035.03, 17097.59, 17022.64, 17081.98, 0.00, 0.00
2016-09-05,00:00:00, 17131.52, 17156.36, 17009.21, 17037.63, 0.00, 0.00
2016-09-02,00:00:00, 16903.78, 16946.49, 16848.12, 16925.68, 0.00, 0.00
2016-09-01,00:00:00, 16885.16, 16941.18, 16864.56, 16926.84, 0.00, 0.00
2016-08-31,00:00:00, 16857.83, 16917.86, 16836.96, 16887.40, 0.00, 0.00
2016-08-30,00:00:00, 16690.98, 16752.16, 16677.85, 16725.36, 0.00, 0.00
2016-08-29,00:00:00, 16631.06, 16764.64, 16616.65, 16737.49, 0.00, 0.00
2016-08-26,00:00:00, 16485.55, 16490.53, 16320.43, 16360.71, 0.00, 0.00
2016-08-25,00:00:00, 16580.15, 16628.79, 16520.84, 16555.95, 0.00, 0.00
2016-08-24,00:00:00, 16550.21, 16648.07, 16544.39, 16597.30, 0.00, 0.00
2016-08-23,00:00:00, 16549.82, 16663.64, 16452.01, 16497.36, 0.00, 0.00
2016-08-22,00:00:00, 16599.26, 16631.23, 16540.94, 16598.19, 0.00, 0.00
2016-08-19,00:00:00, 16558.38, 16613.04, 16452.62, 16545.82, 0.00, 0.00
2016-08-18,00:00:00, 16649.91, 16714.61, 16481.41, 16486.01, 0.00, 0.00
2016-08-17,00:00:00, 16596.26, 16772.11, 16596.26, 16745.64, 0.00, 0.00
2016-08-16,00:00:00, 16878.66, 16887.57, 16596.51, 16596.51, 0.00, 0.00
2016-08-15,00:00:00, 16866.89, 16932.11, 16844.58, 16869.56, 0.00, 0.00
2016-08-12,00:00:00, 16877.18, 16943.67, 16818.43, 16919.92, 0.00, 0.00
2016-08-10,00:00:00, 16699.08, 16822.86, 16657.59, 16735.12, 0.00, 0.00
2016-08-09,00:00:00, 16632.41, 16779.59, 16630.56, 16764.97, 0.00, 0.00
2016-08-08,00:00:00, 16462.29, 16652.04, 16455.57, 16650.57, 0.00, 0.00
2016-08-05,00:00:00, 16278.99, 16355.98, 16230.70, 16254.45, 0.00, 0.00
2016-08-04,00:00:00, 16168.34, 16270.12, 15921.04, 16254.89, 0.00, 0.00
2016-08-03,00:00:00, 16227.28, 16275.34, 16056.67, 16083.11, 0.00, 0.00
2016-08-02,00:00:00, 16469.68, 16541.88, 16391.45, 16391.45, 0.00, 0.00
2016-08-01,00:00:00, 16415.31, 16677.49, 16319.15, 16635.77, 0.00, 0.00
2016-07-29,00:00:00, 16359.68, 16679.19, 16174.35, 16569.27, 0.00, 0.00
2016-07-28,00:00:00, 16596.15, 16616.28, 16450.28, 16476.84, 0.00, 0.00
2016-07-27,00:00:00, 16526.06, 16821.43, 16526.06, 16664.82, 0.00, 0.00
2016-07-26,00:00:00, 16535.81, 16535.81, 16323.10, 16383.04, 0.00, 0.00
2016-07-25,00:00:00, 16655.81, 16778.65, 16612.33, 16620.29, 0.00, 0.00
2016-07-22,00:00:00, 16612.90, 16691.81, 16566.98, 16627.25, 0.00, 0.00
2016-07-21,00:00:00, 16855.18, 16938.96, 16740.00, 16810.22, 0.00, 0.00
2016-07-20,00:00:00, 16646.92, 16692.84, 16554.03, 16681.89, 0.00, 0.00
2016-07-19,00:00:00, 16612.09, 16726.71, 16514.66, 16723.31, 0.00, 0.00
2016-07-15,00:00:00, 16396.12, 16607.32, 16396.12, 16497.85, 0.00, 0.00
2016-07-14,00:00:00, 16242.20, 16398.73, 16229.26, 16385.89, 0.00, 0.00
2016-07-13,00:00:00, 16343.00, 16444.25, 16196.44, 16231.43, 0.00, 0.00
2016-07-12,00:00:00, 15961.30, 16237.62, 15956.91, 16095.65, 0.00, 0.00
2016-07-11,00:00:00, 15375.94, 15816.67, 15375.94, 15708.82, 0.00, 0.00
2016-07-08,00:00:00, 15326.84, 15399.70, 15106.52, 15106.98, 0.00, 0.00
2016-07-07,00:00:00, 15346.81, 15418.90, 15241.91, 15276.24, 0.00, 0.00
2016-07-06,00:00:00, 15434.46, 15434.46, 15167.98, 15378.99, 0.00, 0.00
2016-07-05,00:00:00, 15682.16, 15702.04, 15602.73, 15669.33, 0.00, 0.00
2016-07-04,00:00:00, 15554.04, 15805.31, 15553.92, 15775.80, 0.00, 0.00
2016-07-01,00:00:00, 15698.02, 15765.00, 15635.57, 15682.48, 0.00, 0.00
2016-06-30,00:00:00, 15752.71, 15781.69, 15575.92, 15575.92, 0.00, 0.00
2016-06-29,00:00:00, 15523.35, 15626.66, 15398.31, 15566.83, 0.00, 0.00
2016-06-28,00:00:00, 15094.71, 15443.82, 14987.79, 15323.14, 0.00, 0.00
2016-06-27,00:00:00, 15153.08, 15323.95, 15061.66, 15309.21, 0.00, 0.00
2016-06-24,00:00:00, 16333.87, 16389.17, 14864.01, 14952.02, 0.00, 0.00
2016-06-23,00:00:00, 16098.61, 16263.87, 16057.86, 16238.35, 0.00, 0.00
2016-06-22,00:00:00, 16095.81, 16160.99, 15980.65, 16065.72, 0.00, 0.00
2016-06-21,00:00:00, 15875.81, 16202.30, 15770.96, 16169.11, 0.00, 0.00
2016-06-20,00:00:00, 15839.06, 16035.44, 15835.86, 15965.30, 0.00, 0.00
2016-06-17,00:00:00, 15631.79, 15774.87, 15582.94, 15599.66, 0.00, 0.00
2016-06-16,00:00:00, 15871.22, 15913.08, 15395.98, 15434.14, 0.00, 0.00
2016-06-15,00:00:00, 15799.07, 15997.30, 15752.01, 15919.58, 0.00, 0.00
2016-06-14,00:00:00, 16001.19, 16082.50, 15762.09, 15859.00, 0.00, 0.00
2016-06-13,00:00:00, 16319.11, 16335.38, 16019.18, 16019.18, 0.00, 0.00
2016-06-10,00:00:00, 16637.51, 16643.36, 16496.11, 16601.36, 0.00, 0.00
2016-06-09,00:00:00, 16742.03, 16785.83, 16587.77, 16668.41, 0.00, 0.00
2016-06-08,00:00:00, 16722.49, 16830.92, 16581.71, 16830.92, 0.00, 0.00
2016-06-07,00:00:00, 16651.05, 16701.01, 16536.23, 16675.45, 0.00, 0.00
2016-06-06,00:00:00, 16373.32, 16581.30, 16322.64, 16580.03, 0.00, 0.00
2016-06-03,00:00:00, 16599.51, 16716.14, 16554.60, 16642.23, 0.00, 0.00
2016-06-02,00:00:00, 16817.26, 16819.85, 16525.47, 16562.55, 0.00, 0.00
2016-06-01,00:00:00, 17097.22, 17145.95, 16908.92, 16955.73, 0.00, 0.00
2016-05-31,00:00:00, 17029.46, 17251.36, 16988.64, 17234.98, 0.00, 0.00
2016-05-30,00:00:00, 16973.72, 17068.02, 16910.19, 17068.02, 0.00, 0.00
2016-05-27,00:00:00, 16830.50, 16901.09, 16792.73, 16834.84, 0.00, 0.00
2016-05-26,00:00:00, 16927.69, 16957.56, 16743.17, 16772.46, 0.00, 0.00
2016-05-25,00:00:00, 16764.35, 16806.03, 16731.12, 16757.35, 0.00, 0.00
2016-05-24,00:00:00, 16605.04, 16605.04, 16471.37, 16498.76, 0.00, 0.00
2016-05-23,00:00:00, 16671.28, 16691.50, 16417.84, 16654.60, 0.00, 0.00
2016-05-20,00:00:00, 16594.99, 16770.87, 16548.34, 16736.35, 0.00, 0.00
2016-05-19,00:00:00, 16807.46, 16841.04, 16590.16, 16646.66, 0.00, 0.00
2016-05-18,00:00:00, 16611.40, 16795.47, 16513.17, 16644.69, 0.00, 0.00
2016-05-17,00:00:00, 16618.95, 16655.89, 16509.31, 16652.80, 0.00, 0.00
